pid,round,cpu,wc,ram,logged,decided,agr_rounds,window_top,window_bot,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
5,18,7133,19168,5504,124,127,337,3419,3450,337,2637,2660,2638,7436,10154,576,382,0,7070,8004,382,510,199,804,17,8438,8175,8175,204
5,19,7495,20181,5504,116,112,324,3535,3566,324,2453,2459,2452,6561,9066,342,320,0,6238,6947,320,346,177,786,22,7216,6879,6879,191
5,20,7878,21189,5504,193,192,524,3728,3759,524,4282,4270,4282,11308,15356,695,649,0,11230,12559,649,630,473,1206,74,12617,12495,12495,160
5,21,8250,22195,5504,184,185,527,3912,3943,526,4105,4118,4105,11670,15871,585,526,0,11117,12339,526,650,266,994,58,12826,12240,12240,61
5,22,8643,23201,5504,188,199,555,4100,4131,555,4330,4269,4330,11676,16002,600,634,0,11678,12961,634,600,392,902,74,12955,12986,12986,89
5,23,8995,24204,5504,216,203,555,4316,4347,555,4443,4493,4443,11640,16171,702,571,0,11609,12921,571,693,218,1100,29,12963,12832,12832,0
5,24,9382,25207,5504,174,174,552,4490,4521,552,4325,4317,4325,11388,15504,720,631,0,11686,13038,631,674,241,1370,50,12783,13070,13070,32
5,25,9753,26209,5504,190,190,513,4680,4711,513,4038,4047,4038,10760,14873,693,533,0,10332,11537,533,625,451,1044,68,12036,11498,11499,0
5,26,10138,27214,5504,203,204,549,4883,4914,549,4542,4531,4542,12139,16628,549,569,0,11522,12756,569,617,200,1422,20,13302,12972,12972,216
5,27,10515,28217,5504,194,205,513,5077,5108,513,4318,4289,4319,11308,15744,552,664,0,11226,12482,664,547,192,1263,25,12574,12621,12621,355
5,28,10845,29227,5504,75,83,217,5152,5183,217,2566,2515,2565,7113,9832,378,416,0,7060,7904,416,378,62,1069,4,7952,7582,7582,37
5,29,11071,30228,5504,0,0,0,5152,5183,0,2492,2492,2492,6567,9019,332,440,0,6340,7162,440,332,282,1234,38,7388,7179,7179,54
5,30,11304,31229,5504,0,0,0,5152,5183,0,2345,2345,2345,6362,8766,382,388,0,5756,6574,388,382,137,1054,22,7182,6581,6581,63
5,31,11530,32237,5504,0,0,0,5152,5183,0,2370,2370,2370,6327,8704,390,535,0,6033,6946,535,331,283,1126,59,7296,7016,7016,155
5,32,11738,33243,5504,0,0,0,5152,5183,0,2658,2658,2658,7119,9746,340,487,0,6708,7643,487,399,183,1114,19,7996,7594,7594,106
5,33,11940,34249,5504,0,0,0,5152,5183,0,1892,1892,1892,5318,7258,296,263,0,5194,5772,263,266,190,1125,30,5927,5740,5740,74
5,34,12159,35253,5504,0,0,0,5152,5183,0,2364,2364,2364,6308,8666,333,442,0,5839,6691,442,363,164,1125,22,7126,6718,6718,101
5,35,12368,36256,5504,0,0,0,5152,5183,0,2454,2454,2454,6347,8805,404,482,0,6190,7124,482,404,218,1049,37,7278,7195,7195,172
5,36,12563,37270,5504,0,0,0,5152,5183,0,1548,1548,1548,4175,5763,219,263,0,3984,4493,263,201,156,1179,25,4702,4399,4399,78
5,37,12806,38271,5504,0,0,0,5152,5183,0,2018,2018,2018,5084,6996,330,350,0,5195,5935,350,341,154,1235,14,5814,5857,5857,0
5,38,13030,39272,5504,0,0,0,5152,5183,0,2561,2561,2561,7072,9604,375,351,0,6492,7229,351,336,328,1222,41,7848,7395,7395,166
5,39,13246,40274,5504,0,0,0,5152,5183,0,2217,2217,2217,5970,8321,295,391,0,5790,6563,391,334,93,1191,11,6701,6428,6428,31
