pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
4,50,11635,51105,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,51,11650,52106,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,58,0,50,49,49,0
4,52,11668,53107,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,53,11686,54108,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,54,11703,55109,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,55,11719,56110,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,56,11734,57111,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,57,11748,58112,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,58,11762,59113,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,59,11780,60114,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,60,11792,61115,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,61,11805,62116,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,58,0,50,49,49,0
4,62,11819,63118,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,58,0,45,49,49,1
4,63,11834,64119,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,49,49,0
4,64,11845,65121,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,65,11859,66121,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,66,11870,67122,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,67,11880,68124,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,68,11889,69124,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,50,50,0
4,69,11899,70125,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,58,0,50,50,50,1
4,70,11910,71126,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,50,0,0,0,58,0,50,49,49,0
4,71,11917,72132,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,46,0,0,0,58,0,45,46,46,0
2,0,268,1010,4352,212,214,490,22,1,213,235,245,490,3739,3122,3739,7969,10778,434,297,0,9761,10540,297,434,183,70,16,8750,10730,10730,190
2,1,518,2015,4480,228,226,459,26,1,441,457,467,459,3268,3333,3267,8852,11980,376,331,0,8867,9625,331,376,275,252,26,9608,9396,9396,0
2,2,763,3016,4480,203,203,404,22,144,644,665,675,404,3110,3261,3110,9035,12551,287,336,0,8236,8908,336,287,59,282,9,9696,8880,8880,0
2,3,996,4016,4480,202,212,443,44,346,846,866,876,443,3154,3047,3154,7913,10984,289,234,0,8077,8650,234,289,291,142,36,8486,8664,8664,14
2,4,1287,5018,4480,239,228,526,22,585,1085,1105,1115,526,3402,3532,3402,8837,12124,328,422,0,8616,9415,422,328,383,172,37,9636,9521,9521,120
2,5,1546,6020,4480,193,204,409,10,778,1278,1299,1309,409,3418,3227,3418,8712,12165,350,419,0,9042,9861,419,350,156,399,38,9531,9694,9694,0
2,6,1840,7022,4480,245,226,504,3,1023,1523,1543,1553,504,3535,3447,3535,8514,11739,339,265,0,9179,9829,265,339,396,138,45,9163,9897,9897,68
2,7,2088,8023,4480,217,220,433,21,1240,1740,1760,1770,433,3130,3272,3130,8960,12419,292,386,0,8153,8881,386,292,265,119,20,9683,8883,8883,70
2,8,2302,9024,4480,217,213,438,29,1457,1957,1977,1987,438,2973,2777,2973,7124,10044,343,264,0,7764,8421,264,343,45,123,4,7781,8374,8374,23
2,9,2528,10026,4480,209,209,415,41,1666,2166,2186,2196,415,3071,2903,3071,7616,10563,296,290,0,7889,8525,290,296,46,238,4,8243,8514,8514,15
2,10,2741,11028,4480,166,167,376,45,1832,2332,2353,2363,376,2939,3108,2939,7981,11103,270,278,0,7756,8350,278,266,112,188,9,8579,8389,8389,54
2,11,2976,12028,4480,206,215,439,56,2038,2538,2558,2568,439,3146,3179,3146,8294,11266,278,334,0,8258,8901,334,259,273,374,29,8956,8920,8920,73
2,12,3198,13029,4480,227,217,422,13,2265,2765,2785,2795,422,2819,2650,2819,6938,9666,252,226,0,7534,8085,226,275,114,329,5,7466,8014,8014,3
2,13,3432,14029,4480,225,225,460,41,2490,2990,3010,3020,460,3207,3189,3207,8179,11326,346,265,0,8263,8922,265,346,203,119,22,8840,8957,8957,40
2,14,3651,15031,4480,179,180,362,41,2669,3169,3190,3200,362,3058,2828,3058,7322,10354,272,235,0,8175,8731,235,272,214,126,31,7874,8769,8769,78
2,15,3891,16032,4480,196,200,451,60,2865,3365,3385,3395,451,2771,2810,2771,7182,9790,228,201,0,6992,7471,201,228,218,162,12,7661,7457,7457,64
2,16,4203,17035,4480,263,268,607,4,3128,3628,3648,3658,607,4256,4515,4256,11665,15969,477,578,0,11289,12392,578,477,117,454,13,12770,12376,12376,64
2,17,4422,18037,4480,186,177,355,19,3314,3814,3835,3845,355,2684,2866,2684,7300,10447,213,309,0,7122,7694,309,213,48,352,4,7869,7626,7626,2
2,18,4665,19038,4480,224,224,515,58,3538,4038,4060,4070,515,3646,3369,3646,8743,12043,287,289,0,9414,10031,289,278,106,196,13,9362,10041,10041,12
2,19,4900,20041,4480,270,269,538,30,3808,4308,4328,4338,538,3570,3323,3570,8799,12137,320,227,0,9254,9843,227,312,282,199,17,9396,9809,9809,0
2,20,5135,21042,4480,212,212,430,40,4020,4520,4540,4550,430,3156,3120,3156,8195,11465,336,325,0,8299,9027,325,353,144,142,9,8906,9028,9028,1
2,21,5364,22044,4480,186,187,382,41,4206,4706,4727,4737,382,2893,3071,2893,7953,10992,237,268,0,7390,7945,268,237,221,126,30,8508,7988,7988,47
2,22,5670,23045,4480,287,286,574,40,4493,4993,5013,5023,574,3743,3941,3743,9999,13591,422,389,0,9604,10462,389,422,137,389,7,10856,10447,10447,32
2,23,5871,24046,4480,191,191,383,31,4684,5184,5204,5214,383,2919,2719,2919,7013,9866,232,207,0,7600,8088,207,232,106,298,6,7484,8112,8112,56
2,24,6131,25046,4480,209,228,490,40,4893,5393,5413,5423,490,3498,3583,3498,9281,12709,278,251,0,8592,9122,251,229,493,236,49,9859,9202,9202,136
2,25,6398,26048,4480,196,193,437,3,5089,5589,5610,5620,437,3531,3192,3531,8400,12086,354,381,0,9103,9936,381,403,265,139,37,9185,9785,9785,0
2,26,6644,27049,4480,249,234,501,17,5338,5838,5859,5869,501,3660,3054,3660,7769,10806,357,237,0,9557,10201,237,357,139,137,32,8413,10234,10234,38
2,27,6897,28050,4480,229,229,512,44,5567,6067,6087,6097,512,3454,3334,3454,8264,11241,272,297,0,8663,9282,297,272,286,182,25,8880,9360,9360,116
2,28,7199,29051,4480,246,262,551,9,5813,6313,6334,6344,551,4223,4133,4223,10963,15453,444,493,0,11207,12194,493,444,41,164,2,11937,12073,12073,0
2,29,7467,30052,4480,267,251,512,24,6080,6580,6601,6611,512,3614,3425,3614,8997,12443,296,302,0,9458,10105,302,296,14,180,2,9645,10119,10119,14
2,30,7707,31054,4480,238,238,486,40,6318,6818,6839,6849,486,3425,3722,3425,9587,13104,248,371,0,8712,9381,371,248,52,310,6,10256,9369,9369,2
2,31,7979,32066,4480,248,247,531,60,6566,7066,7086,7096,531,3513,3614,3513,9600,12790,265,277,0,8947,9536,277,265,658,139,55,10189,9747,9747,213
2,32,8208,33067,4480,193,193,391,23,6759,7259,7279,7289,391,2914,2847,2914,7668,11020,314,301,0,7842,8508,301,314,180,119,19,8257,8339,8339,76
2,33,8403,34068,4480,172,183,401,39,6931,7431,7451,7461,401,3064,2818,3064,7339,10176,261,267,0,8186,8763,267,261,163,119,11,7917,8682,8682,1
2,34,8714,35080,4480,268,257,569,21,7199,7699,7709,7719,569,4107,4351,4107,11286,15497,425,464,0,10741,11679,464,425,199,276,30,12225,11678,11678,0
2,35,8974,36082,4480,233,236,479,27,7432,7932,7952,7962,479,3222,3414,3222,9133,12553,259,312,0,8380,9000,312,259,152,207,14,9754,9097,9097,97
2,36,9194,37082,4480,165,163,353,43,7597,8097,8119,8129,353,2725,2871,2725,7577,10583,262,334,0,7085,7731,334,262,79,178,4,8223,7646,7646,12
2,37,9459,38083,4480,241,242,492,39,7838,8338,8358,8368,492,3279,3265,3279,8497,11518,263,272,0,8653,9231,272,256,84,496,11,9082,9285,9285,66
2,38,9690,39090,4480,241,240,481,41,8079,8579,8599,8609,481,3856,3134,3856,7869,10928,442,243,0,9982,10724,243,449,493,119,74,8604,10656,10656,3
2,39,9934,40092,4480,240,239,501,12,8319,8819,8839,8849,501,3420,3490,3420,8880,12387,284,381,0,8838,9550,381,284,372,119,46,9588,9586,9586,64
2,40,10186,41093,4480,215,215,481,14,8534,9034,9054,9064,481,3479,3684,3479,9347,13212,357,481,0,8937,9825,481,357,294,129,16,10234,9869,9869,111
2,41,10427,42095,4480,207,218,445,41,8741,9241,9261,9271,445,3291,3369,3291,8995,12337,288,302,0,8470,9110,302,288,183,209,11,9635,8999,8999,0
2,42,10636,43095,4480,232,221,453,38,8973,9473,9493,9503,453,2992,3162,2992,7742,10826,225,226,0,7807,8308,226,225,62,337,8,8243,8371,8371,63
2,43,10846,44096,4480,191,191,425,32,9164,9664,9685,9695,425,3079,3141,3079,8207,11579,251,291,0,7886,8478,291,251,24,261,4,8799,8424,8424,9
2,44,11080,45098,4480,172,191,396,28,9336,9836,9857,9867,396,3039,2993,3039,7588,10516,312,288,0,7934,8536,288,264,259,178,48,8238,8628,8628,101
2,45,11311,46098,4480,165,146,310,11,9501,10001,10001,10001,310,2174,2140,2174,5931,8308,181,230,0,5827,6334,230,229,0,123,0,6392,6233,6233,0
2,46,11326,47099,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,4,0,0,0,0,50,0,0,0,119,0,50,50,50,0
2,47,11339,48100,4480,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,49,0,0,0,119,0,50,49,49,0
