pid,round,cpu,wc,ram,seq_nr,log_r,urb_s,urb_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
2,26,7709,28894,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,27,7722,29895,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,28,7737,30897,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,29,7748,31898,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,30,7764,32899,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,31,7780,33901,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,32,7798,34902,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,33,7811,35903,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
2,34,7827,36904,23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,755,1049,7,50,30,30,0
5,0,128,1134,5888,2048,10096,256,5615,1280,5615,6400,5615,8482,11364,83,23,0,6081,6168,23,50,1309,469,20,8613,6428,6428,260
3,0,267,1034,5760,2048,10240,256,5865,1280,5865,6400,5865,17305,22133,89,48,0,6818,6930,48,41,401,914,8,17487,6946,6946,16
3,1,507,2051,5888,2048,4120,256,2508,650,2508,3250,2508,10054,12661,41,32,0,4319,4401,31,29,145,1654,3,10156,4509,4510,125
3,2,901,3053,6528,4096,8048,512,4155,1398,4155,6990,4155,19790,26819,22,14,0,8288,8338,15,16,1372,1554,5,19860,8367,8367,235
3,3,1125,4053,7040,0,8312,0,4745,768,4745,3840,4745,12028,17230,28,28,0,7497,7562,28,22,226,2483,3,12114,7366,7366,39
