pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
5,84,26989,87818,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,85,26995,88819,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,86,27000,89820,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
5,87,27023,90820,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0
3,0,1098,3962,4608,512,4096,10828,512,1353,2560,1354,5976,6921,13,11,0,1913,1934,11,10,440,232,3,6000,2023,2023,89
3,1,1334,5229,4608,0,0,2148,0,269,0,268,2779,3585,12,11,0,659,680,11,10,21,429,1,2296,273,273,0
3,2,1660,6842,4864,256,2048,13648,0,1281,0,1281,5998,7319,20,16,0,2876,2910,16,18,256,215,1,4376,2291,2291,26
3,3,2109,7880,4992,256,2048,8192,256,1024,1280,1024,8125,8289,26,25,0,2880,2913,25,8,637,1264,3,8176,3990,2977,90
3,4,2408,8910,5120,512,4096,23128,512,2890,2560,2891,7450,10500,43,20,0,3937,3987,20,30,259,314,4,7511,7633,5873,2044
3,5,2697,9918,5120,512,4096,26192,512,3274,2560,3274,4311,6312,36,13,0,5799,5834,13,22,628,437,6,4326,5017,4447,657
3,6,3111,10946,5120,512,4096,26192,512,3274,2560,3274,12297,15631,65,37,0,5530,5600,37,33,864,710,10,11577,8132,5510,1105
3,7,3468,11973,5248,768,6144,26192,768,3274,3840,3274,9673,13209,70,55,0,6510,6598,55,33,776,864,8,9698,10057,7186,1944
3,8,3893,12991,5376,512,4096,26192,512,3274,2560,3274,10489,13461,67,46,0,6251,6322,46,25,954,1334,10,10520,9867,6374,2044
3,9,4295,13998,5376,1024,8192,40144,1024,5019,5120,5018,12559,17132,71,42,0,10724,10820,42,54,622,1896,7,12663,11749,8983,207
3,10,4713,15005,5376,1024,8192,38432,1024,4803,5120,4804,10869,16040,68,60,0,8027,8140,60,53,729,1976,9,10997,9081,8117,184
3,11,5133,16033,5376,768,6144,32080,768,4011,3840,4010,13606,17954,68,42,0,8456,8534,42,36,1404,2378,5,13685,10782,8587,282
3,12,5453,17040,5376,929,7424,38704,929,4838,4644,4838,9585,14077,65,42,0,9371,9468,42,55,327,2623,7,9692,10409,9531,345
3,13,5705,18096,5376,95,768,7792,75,973,375,974,5124,5850,41,5,0,1378,1389,5,6,469,2482,5,5170,4740,3088,2044
3,14,5931,19124,5376,512,4096,39904,512,4989,2560,4988,5837,7368,44,52,0,9714,9808,52,42,493,4308,5,5928,7822,7822,58
3,15,6307,20134,5376,768,6144,38672,768,4833,3840,4834,10432,14840,62,49,0,8424,8511,49,38,323,3886,5,10543,10996,8911,571
3,16,6666,21148,5376,512,4096,26192,512,3274,2560,3274,7584,9997,52,21,0,5582,5633,21,30,178,3766,6,7610,7614,6732,1761
3,17,7050,22169,5376,512,4096,26128,512,3266,2560,3266,8809,11725,54,38,0,5835,5909,38,36,717,3766,5,8882,7717,5581,1458
