pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
6,18,2130,19107,4992,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,19,2136,20107,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,20,2141,21108,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,21,2145,22108,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,22,2149,23108,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,23,2153,24109,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,24,2156,25110,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,25,2162,26110,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,26,2169,27111,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,27,2178,28112,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,28,2183,29113,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,29,2189,30113,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,30,2192,31114,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,31,2198,32115,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,32,2203,33116,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
6,33,2221,34118,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,0,0,0,0
2,0,161,1034,4480,4864,38912,0,4864,0,13281,17377,0,22,0,0,22,22,0,0,2114,0,13303,22,22,0
2,1,335,2036,4736,4608,36864,0,4608,0,16667,21251,0,22,0,0,22,22,0,0,4916,0,16689,22,22,0
2,2,485,3039,4736,2978,23824,0,2978,0,9875,12719,0,43,0,0,43,43,0,0,5344,0,9918,43,43,0
2,3,569,4041,4736,2910,23280,0,2910,0,9752,12814,0,31,0,0,31,31,0,0,6464,0,9783,31,31,0
2,4,676,5042,4864,3584,28672,0,3584,0,12020,15515,0,15,0,0,15,15,0,0,6700,0,12035,16,16,1
2,5,811,6043,4864,3072,24576,0,3072,0,11443,14556,0,28,0,0,28,28,0,0,7576,0,11471,27,27,0
2,6,898,7047,4864,2816,22528,0,2816,0,10014,12870,0,27,0,0,27,27,0,0,7710,0,10041,27,27,0
2,7,1011,8049,4864,4352,34816,0,4352,0,13608,17958,0,25,0,0,25,25,0,0,8569,0,13633,25,25,0
2,8,1133,9053,4864,4352,34816,0,4352,0,13483,17596,0,27,0,0,27,27,0,0,9335,0,13510,27,27,0
2,9,1254,10055,4864,4385,35080,0,4385,0,14465,19333,0,24,0,0,24,24,0,0,9397,0,14450,24,24,0
2,10,1385,11061,5120,4319,34552,0,4319,0,13433,17419,0,28,0,0,28,28,0,0,10833,0,13460,27,27,0
2,11,1542,12062,5120,3840,30720,0,3840,0,13611,17361,0,33,0,0,33,33,0,0,12796,0,13644,33,33,0
2,12,1658,13063,5120,3840,30720,0,3840,0,13619,17610,0,26,0,0,26,26,0,0,13355,0,13645,26,26,0
2,13,1745,14068,5120,2553,20424,0,2553,0,9737,12462,0,26,0,0,26,26,0,0,13829,0,9763,26,26,0
2,14,1857,15074,5120,3638,29104,0,3638,0,11252,14844,0,28,0,0,28,28,0,0,14207,0,11257,28,28,0
2,15,2034,16076,5248,5073,40584,0,5073,0,15303,20170,0,24,0,0,24,24,0,0,15917,0,15327,24,24,0
2,16,2094,17078,5248,1316,10528,0,1316,0,3802,5965,0,12,0,0,12,12,0,0,15846,0,3814,12,12,0
2,17,2099,18081,5248,0,0,0,0,0,37,45,0,2,0,0,2,2,0,0,15875,0,39,2,2,0
2,18,2103,19082,5248,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,19,2106,20083,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,20,2109,21083,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,21,2111,22084,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,22,2117,23084,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,23,2122,24085,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,24,2127,25087,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
2,25,2134,26088,5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15838,0,0,0,0,0
